"","Word","SemD_P1_U","SemD_P1_W","SemD_P2_U","SemD_P2_W","SemD_H13","ContextCount_P1_U","ContextCount_P1_W","ContextCount_P2_U","ContextCount_P2_W","ContextCount_H13","Freq"
"6887","commuters",1.30172875877187,1.92562289460952,NA,NA,1.365,218,218,NA,NA,218,3.45
"6888","commuting",1.35256390592379,2.06903395310821,1.20082983600869,2.12296673334726,1.397,141,141,62,62,142,3.29
"6889","comp",1.3622489806785,1.8263400640277,1.25971754378992,1.99416986114267,1.493,63,63,68,68,63,2.95
"6890","compact",1.38916353588353,2.2985807176324,1.49531226743155,2.5469097813414,1.651,847,847,858,858,864,4.21
"6891","compacted",1.31751839965744,2.14629858349304,1.38536831536212,2.28823018160947,1.435,78,78,51,51,78,2.94
"6892","compaction",0.694873054326798,1.63842297470659,0.773764251159369,1.89449751690942,0.744,48,48,43,43,48,3.02
"6893","compacts",0.810179246620934,1.87934852599184,NA,NA,0.868,59,59,NA,NA,60,3.2
"6894","compagnie",0.714445634771145,1.08151085707145,0.585260347534279,0.943209978432648,0.81,84,84,81,81,91,2.99
"6895","companies",1.65217399893977,2.23844701939986,NA,NA,1.753,7849,7849,NA,NA,8070,5.25
"6896","companion",1.67670103263279,1.7614706398056,1.59647161455704,2.13724092212509,1.772,1290,1290,1821,1821,1314,4.22
"6897","companionable",1.41454882544101,1.24574635432639,1.37249038050678,1.66513132512488,1.569,50,50,49,49,52,2.79
"6898","companions",1.53775364007508,1.74112023240883,NA,NA,1.715,748,748,NA,NA,754,3.92
"6899","companionship",1.47626534595581,1.76187879671902,1.45097393038859,2.11537731832332,1.531,226,226,224,224,232,3.43
"6900","company",1.78264665176585,2.24828537409905,1.83656656061292,2.45002763063407,1.905,14409,14409,13994,13994,14817,5.6
"6901","companys",1.40979277612088,2.07767640533124,NA,NA,1.52,2525,2525,NA,NA,2613,2
"6902","compaq",0.681301046252814,0.915609365083294,0.545794496819964,0.764921581034608,0.76,155,155,138,138,166,3.5
"6903","comparable",1.99759699198441,2.68004751478498,1.99349847179316,2.97305906789828,2.058,1573,1573,1485,1485,1605,4.27
"6904","comparative",1.72581002587675,2.49205285782669,1.69061666949671,2.69539031727631,1.769,1057,1057,1014,1014,1078,4.15
"6905","comparatively",1.92882537694275,2.46003131042218,1.95745098774231,2.85029440122117,2.065,1056,1056,1002,1002,1071,4.07
"6906","compare",1.97442764393914,2.55172026604387,2.04538991519501,2.86400712141527,2.027,1870,1870,7919,7919,1893,4.38
"6907","compared",2.0358225930216,2.67908755383175,NA,NA,2.119,6354,6354,NA,NA,6470,4.94
"6908","compares",1.92535657695363,2.56607253108523,NA,NA,2.007,526,526,NA,NA,538,3.77
"6909","comparing",1.91762570252311,2.65179281983975,NA,NA,1.919,938,938,NA,NA,954,4.05
"6910","comparison",2.02738618491246,2.65237401334423,2.00164729869328,2.95190201101899,2.076,2989,2989,3480,3480,3039,4.52
"6911","comparisons",1.81594401442031,2.63516603967655,NA,NA,1.808,1012,1012,NA,NA,1030,4.1
"6912","compartment",1.35316362040407,1.9027159129259,1.50485872815058,2.26974170271394,1.413,363,363,467,467,368,3.77
"6913","compartments",1.5409791349588,2.24092987920143,NA,NA,1.615,185,185,NA,NA,189,3.43
"6914","compass",1.36564156845953,1.8351428245687,1.34465960437323,2.06849533705357,1.517,386,386,391,391,392,3.79
"6915","compassion",1.50703254626537,1.69196951969632,1.46145653791849,2.00540702134865,1.618,509,509,494,494,519,3.81
"6916","compassionate",1.58275726088274,1.8132691660613,1.5341681333933,2.07362161593636,1.728,209,209,200,200,214,3.4
"6917","compatibility",1.21940147279842,2.0051750735935,1.0758540388088,2.02711219015828,1.274,357,357,339,339,362,3.66
"6918","compatible",1.52252932348066,2.38219451300613,1.4335163292143,2.54904188965313,1.593,1084,1084,1037,1037,1111,4.06
"6919","compatriot",0.922423934087185,1.2166722682982,1.30768280714412,2.02531629461465,1.739,57,57,125,125,57,2.79
"6920","compatriots",1.61978640065502,2.06192264104568,NA,NA,1.739,69,69,NA,NA,72,2.91
"6921","compel",1.72885791415372,2.34189165553303,1.83226352258545,2.59974104855197,1.797,205,205,1014,1014,207,3.35
"6922","compelled",1.81792931615999,2.20545396108565,NA,NA,1.971,695,695,NA,NA,707,3.89
"6923","compelling",1.78454411634068,2.27123154531065,1.75624899785733,2.53760045337012,1.916,560,560,401,401,572,3.78
"6924","compels",1.60705742438168,2.07686020452105,NA,NA,1.801,55,55,NA,NA,56,2.76
"6925","compendium",1.5166072331157,1.93421987333879,1.49885731094346,2.21157066447637,1.691,78,78,85,85,80,2.92
"6926","compensate",2.050342959868,2.60213402866216,2.01496110178751,2.77956610150126,2.087,769,769,1179,1179,780,3.94
"6927","compensated",1.94570876576898,2.52922893942773,NA,NA,1.979,348,348,NA,NA,350,3.59
"6928","compensates",1.84556674661993,2.4482223640755,NA,NA,1.994,59,59,NA,NA,60,2.82
"6929","compensating",2.02101545012545,2.55464862899781,NA,NA,2.127,139,139,NA,NA,142,3.18
"6930","compensation",1.78925989954487,2.38517867446557,1.79710098692511,2.51516221433142,1.802,1845,1845,1763,1763,1883,4.49
"6931","compensations",1.816649550271,2.08227828697359,NA,NA,1.949,71,71,NA,NA,73,2.91
"6932","compensatory",1.56573936409646,2.59452819530919,1.59847542849743,2.77333450341375,1.593,159,159,143,143,161,3.3
"6933","compete",1.72980659043543,2.30241633915543,1.68991682459337,2.43340010707764,1.861,1571,1571,2315,2315,1598,4.28
"6934","competed",1.4932486469581,2.11834777694322,NA,NA,1.627,265,265,NA,NA,272,3.48
"6935","competence",1.62683294207727,2.29712404594655,1.62695296496065,2.47378185477579,1.607,1069,1069,1018,1018,1083,4.17
"6936","competences",0.787116430195232,1.67081481303278,NA,NA,0.686,71,71,NA,NA,72,3.09
"6937","competencies",1.18455749909657,1.96044032418026,NA,NA,1.21,48,48,NA,NA,48,2.94
"6938","competency",1.35105930257206,2.11258846910644,1.2872825382131,2.1131501819883,1.315,40,40,79,79,40,2.78
"6939","competent",1.87615131914713,2.35618033505225,1.87449228134046,2.63266444534999,1.923,978,978,918,918,1004,4.09
"6940","competently",1.78799437210104,2.1581767804832,1.79643443853162,2.46611073964949,1.886,78,78,74,74,79,2.93
"6941","competes",1.5980196673641,2.40726223199102,NA,NA,1.712,84,84,NA,NA,87,2.97
"6942","competing",1.8154507170629,2.36471370735517,1.71945019796884,2.54739434734004,1.929,1373,1373,634,634,1404,4.22
"6943","competition",1.68378265712583,2.23973449261086,1.67750787131293,2.37031357054142,1.77,5347,5347,4954,4954,5506,4.97
"6944","competitions",1.33678603786319,1.86707439605859,NA,NA,1.481,517,517,NA,NA,538,3.84
"6945","competitive",1.64350628158791,2.24860427817254,1.62403605044457,2.37244822895778,1.718,2655,2655,2386,2386,2717,4.56
"6946","competitively",1.70468208764829,2.35752838788596,1.65917380658646,2.57486221975205,1.807,108,108,107,107,112,3.09
"6947","competitiveness",1.37812562794464,2.12869227783077,1.34628925863441,2.15043515324938,1.411,450,450,419,419,456,3.75
"6948","competitor",1.59130929881907,2.27601434528786,1.55622346707573,2.34782230034875,1.707,458,458,1504,1504,466,3.79
