,DocID,contextIndex,ContextID
864,B23,1677,B23_1
865,B23,1678,B23_2
866,B23,1679,B23_3
867,B23,1680,B23_4
868,B23,1681,B23_5
869,B23,1682,B23_6
870,B23,1683,B23_7
871,B23,1684,B23_8
872,B23,1685,B23_9
873,B2V,1698,B2V_1
874,B2X,1699,B2X_1
875,B2X,1700,B2X_2
876,B2X,1701,B2X_3
877,B2X,1702,B2X_4
878,B2X,1703,B2X_5
879,B2X,1704,B2X_6
880,B2X,1705,B2X_7
881,B2X,1706,B2X_8
882,B2X,1707,B2X_9
883,B2A,1708,B2A_1
884,B2A,1709,B2A_2
885,B2A,1710,B2A_3
886,B2A,1711,B2A_4
887,B2A,1712,B2A_5
888,B2A,1713,B2A_6
889,B2A,1714,B2A_7
890,B2A,1715,B2A_8
891,B2A,1716,B2A_9
892,B2H,1729,B2H_1
893,B2H,1730,B2H_2
894,B2H,1731,B2H_3
895,B2H,1732,B2H_4
896,B2H,1733,B2H_5
897,B2H,1734,B2H_6
898,B2H,1735,B2H_7
899,B2H,1736,B2H_8
900,B2H,1737,B2H_9
901,B2C,1746,B2C_1
902,B2C,1747,B2C_2
903,B2C,1748,B2C_3
904,B2C,1749,B2C_4
905,B2C,1750,B2C_5
906,B2C,1751,B2C_6
907,B2C,1752,B2C_7
908,B2C,1753,B2C_8
909,B2C,1754,B2C_9
910,B22,1766,B22_1
911,B22,1767,B22_2
912,B22,1768,B22_3
913,B22,1769,B22_4
914,B22,1770,B22_5
915,B22,1771,B22_6
916,B22,1772,B22_7
917,B22,1773,B22_8
918,B22,1774,B22_9
919,B2B,1786,B2B_1
920,B2G,1787,B2G_1
921,B2G,1788,B2G_2
922,B2G,1789,B2G_3
923,B2G,1790,B2G_4
924,B2G,1791,B2G_5
925,B2G,1792,B2G_6
926,B2G,1793,B2G_7
927,B2G,1794,B2G_8
928,B2G,1795,B2G_9
929,B29,1802,B29_1
930,B29,1803,B29_2
931,B29,1804,B29_3
932,B29,1805,B29_4
933,B29,1806,B29_5
934,B29,1807,B29_6
935,B29,1808,B29_7
936,B29,1809,B29_8
937,B29,1810,B29_9
938,B28,1817,B28_1
939,B28,1818,B28_2
940,B28,1819,B28_3
941,B28,1820,B28_4
942,B28,1821,B28_5
943,B28,1822,B28_6
944,B28,1823,B28_7
945,B28,1824,B28_8
946,B28,1825,B28_9
947,B2Y,1836,B2Y_1
948,B2Y,1837,B2Y_2
949,B2Y,1838,B2Y_3
950,B2Y,1839,B2Y_4
951,B2Y,1840,B2Y_5
952,B2Y,1841,B2Y_6
953,B2Y,1842,B2Y_7
954,B2Y,1843,B2Y_8
955,B2Y,1844,B2Y_9
956,B2S,1846,B2S_1
957,B2S,1847,B2S_2
958,B2S,1848,B2S_3
959,B2S,1849,B2S_4
960,B2S,1850,B2S_5
961,B2S,1851,B2S_6
962,B2S,1852,B2S_7
963,B2S,1853,B2S_8
964,B2S,1854,B2S_9
965,B2L,1867,B2L_1
966,B2L,1868,B2L_2
967,B2L,1869,B2L_3
968,B2L,1870,B2L_4
969,B2L,1871,B2L_5
970,B2L,1872,B2L_6
971,B2L,1873,B2L_7
972,B2L,1874,B2L_8
973,B2L,1875,B2L_9
974,B2E,1885,B2E_1
975,B2E,1886,B2E_2
976,B2E,1887,B2E_3
977,B2E,1888,B2E_4
978,B2E,1889,B2E_5
979,B2E,1890,B2E_6
980,B2E,1891,B2E_7
981,B2E,1892,B2E_8
982,B2E,1893,B2E_9
983,B2P,1897,B2P_1
984,B2P,1898,B2P_2
985,B2P,1899,B2P_3
986,B2P,1900,B2P_4
987,B2P,1901,B2P_5
988,B2P,1902,B2P_6
989,B2P,1903,B2P_7
990,B2P,1904,B2P_8
991,B2P,1905,B2P_9
992,BM0,1914,BM0_1
993,BM0,1915,BM0_2
994,BM0,1916,BM0_3
