Word,SemD,cosMean,WordCount,nContexts
cb,1.514044707,0.030616482,215,132
cbc,0.886501914,0.129866784,74,43
cbe,1.131171786,0.073931278,125,103
cbi,1.241859757,0.057298103,351,234
cbs,1.134325966,0.073396278,180,132
cc,1.388857188,0.040845368,724,357
cca,0.824742863,0.149712181,99,41
ccc,1.101778445,0.079108209,59,42
ccp,0.720234755,0.190443101,101,50
cd,1.006264833,0.098567824,2193,830
cdc,1.071318192,0.084855854,84,47
cdna,0.619538323,0.240138436,506,112
cdp,0.764119857,0.172139344,110,47
cdr,0.897840716,0.126520029,121,62
cds,1.037998578,0.091622349,359,198
cdu,0.432036238,0.369797322,311,89
ce,1.544305772,0.028555793,292,201
cease,2.022727498,0.009490137,976,905
ceased,1.848997541,0.014158018,1411,1326
ceasefire,1.036870595,0.091860627,748,401
ceaseless,1.572160166,0.026781804,105,102
ceaselessly,1.64673944,0.022555921,50,49
ceases,1.866062802,0.013612478,313,294
ceasing,1.905947255,0.012418031,133,124
ceau,0.077161343,0.837218192,442,45
ceausescu,0.928273437,0.117957773,196,87
ceausescus,1.015638996,0.096463053,51,42
cecil,1.435974029,0.036645949,561,406
cecilia,1.25091852,0.056115325,145,64
cecils,1.121324995,0.075626675,61,46
cedar,1.420388997,0.037984901,163,126
ceded,1.4048293,0.039370479,94,87
cedric,1.284062917,0.051992067,146,77
cegb,0.583653327,0.260823473,258,87
ceilidh,0.877203034,0.132677404,51,41
ceiling,1.481090055,0.033030104,2037,1596
ceilinged,1.246557158,0.056681697,82,81
ceilings,1.272755094,0.053363574,349,312
celebrate,1.68298689,0.020749762,1292,1200
celebrated,1.690209172,0.020407548,1636,1526
celebrates,1.535183491,0.029161946,285,278
celebrating,1.604336346,0.024869305,715,679
celebration,1.678215591,0.020978982,1138,991
celebrations,1.691297279,0.020356482,823,731
celebratory,1.700282115,0.019939666,110,108
celebrities,1.416103992,0.038361538,240,215
celebrity,1.374404667,0.042227496,400,363
celery,0.637960459,0.230165136,180,119
celeste,1.047378133,0.089664776,62,46
celestial,1.216208562,0.060784303,155,144
celia,1.012231416,0.097222903,748,238
celias,0.534455099,0.292108975,74,59
celibacy,1.14486135,0.071637208,154,100
celibate,1.208524095,0.0618694,106,87
cell,1.432350915,0.036952947,5564,2012
cellar,1.476906695,0.033349805,573,427
cellars,1.352657089,0.044395905,207,176
celled,0.798240274,0.159132808,69,51
cello,0.631015365,0.233875449,174,123
cellophane,1.389255438,0.04080793,71,63
cells,1.360602672,0.04359105,7570,2000
cellular,1.325106398,0.047303536,707,452
cellulite,0.75774022,0.174686676,154,45
celluloid,0.84665707,0.142345234,95,89
cellulose,1.116589632,0.076455788,170,98
celsius,1.091834985,0.080940338,75,53
celtic,1.121551001,0.075587329,1073,574
celtics,0.485949496,0.326625813,96,70
celts,0.979089298,0.104932665,134,64
cement,1.587803265,0.025834302,643,467
cemented,1.660040811,0.02187556,102,95
cemeteries,1.084629678,0.082294407,189,120
cemetery,1.475990371,0.033420245,675,494
censor,1.402231668,0.03960667,100,89
censored,1.641041948,0.022853781,102,92
censors,1.235118111,0.058194493,52,50
